jma_code,name,name_kana,pref,lat,lon,elevation,type,obs_start,matched_sources,amedastable_code,obsdl_stid,kansoku_bitmask
a0738,成就社,ジョウジュシャ,愛媛,33.795,133.131667,1280,C,,amedastable+obsdl,73247,a0738,100000
a0739,長浜,ナガハマ,愛媛,35.423333,136.241667,95,C,,amedastable+obsdl,60061,a0739,111201
a0740,中山,ナカヤマ,愛媛,33.638333,132.708333,163,C,,amedastable+obsdl,73271,a0740,100000
a0741,久万,クマ,愛媛,33.663333,132.895,511,C,,amedastable+obsdl,73276,a0741,111201
a0742,獅子越峠,シシゴエトウゲ,愛媛,33.543333,132.831667,1000,C,,amedastable+obsdl,73321,a0742,100000
a0743,八幡浜,ヤワタハマ,愛媛,33.448333,132.433333,8,C,,amedastable+obsdl,73351,a0743,100000
s47892,宇和島,ウワジマ,愛媛,33.226667,132.551667,2,B,,amedastable+obsdl,73442,s47892,111111
a0745,御荘,ミショウ,愛媛,32.963333,132.57,12,C,,amedastable+obsdl,73516,a0745,111201
a0958,西条,サイジョウ,愛媛,33.915,133.08,4,C,,amedastable+obsdl,73126,a0958,111201
a0959,大洲,オオズ,愛媛,33.508333,132.535,20,C,,amedastable+obsdl,73306,a0959,111201
a0960,三崎,ミサキ,愛媛,32.795,132.871667,9,C,,amedastable+obsdl,74506,a0960,111100
a0961,宇和,ウワ,愛媛,33.366667,132.503333,200,C,,amedastable+obsdl,73406,a0961,111201
a1077,今治,イマバリ,愛媛,34.053333,132.975,27,C,,amedastable+obsdl,73076,a1077,111201
a1260,富郷,トミサト,愛媛,33.915,133.51,310,C,,amedastable+obsdl,73152,a1260,100000
a1350,近永,チカナガ,愛媛,33.253333,132.675,129,C,,amedastable+obsdl,73446,a1350,111201
a1456,瀬戸,セト,愛媛,33.446667,132.256667,143,C,,amedastable+obsdl,73341,a1456,111201
a1521,松山南吉田,マツヤマミナミヨシダ：松山空港,愛媛,33.826667,132.698333,4,C,,amedastable+obsdl,73168,a1521,111000
